1751 København V
1752 København V
1753 København V
1754 København V
1755 København V
1756 København V
1757 København V
1758 København V
1759 København V
1760 København V
1761 København V
1762 København V
1763 København V
1764 København V
1765 København V
1766 København V
1770 København V
1771 København V
1772 København V
1773 København V
1774 København V
1775 København V
1777 København V
1780 København V
1782 København V
1785 København V
1786 København V
1787 København V
1790 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1800 Frederiksberg C
1801 Frederiksberg C
1802 Frederiksberg C
1803 Frederiksberg C
1804 Frederiksberg C
1805 Frederiksberg C
1806 Frederiksberg C
1807 Frederiksberg C
1808 Frederiksberg C
1809 Frederiksberg C
1810 Frederiksberg C
1811 Frederiksberg C
1812 Frederiksberg C
1813 Frederiksberg C
1814 Frederiksberg C
1815 Frederiksberg C
1816 Frederiksberg C
1817 Frederiksberg C
1818 Frederiksberg C
1819 Frederiksberg C
1820 Frederiksberg C
1822 Frederiksberg C
1823 Frederiksberg C
1824 Frederiksberg C
1825 Frederiksberg C
1826 Frederiksberg C
1827 Frederiksberg C
1828 Frederiksberg C
1829 Frederiksberg C
1835 Frederiksberg C
1850 Frederiksberg C
1851 Frederiksberg C
1852 Frederiksberg C
1853 Frederiksberg C
1854 Frederiksberg C
1855 Frederiksberg C
1856 Frederiksberg C
1857 Frederiksberg C
1860 Frederiksberg C
1861 Frederiksberg C
1862 Frederiksberg C
1863 Frederiksberg C
1864 Frederiksberg C
1865 Frederiksberg C
1866 Frederiksberg C
1867 Frederiksberg C
1868 Frederiksberg C
1870 Frederiksberg C
1871 Frederiksberg C
1872 Frederiksberg C
1873 Frederiksberg C
1874 Frederiksberg C
1875 Frederiksberg C
1876 Frederiksberg C
1877 Frederiksberg C
1878 Frederiksberg C
1879 Frederiksberg C
1900 Frederiksberg C
1901 Frederiksberg C
1902 Frederiksberg C
1903 Frederiksberg C
1904 Frederiksberg C
1905 Frederiksberg C
1906 Frederiksberg C
1908 Frederiksberg C
1909 Frederiksberg C
1910 Frederiksberg C
1911 Frederiksberg C
1912 Frederiksberg C
1913 Frederiksberg C
1914 Frederiksberg C
1915 Frederiksberg C
1916 Frederiksberg C
1917 Frederiksberg C
1920 Frederiksberg C
1921 Frederiksberg C
1922 Frederiksberg C
1923 Frederiksberg C
1924 Frederiksberg C
1925 Frederiksberg C
1926 Frederiksberg C
1927 Frederiksberg C
1928 Frederiksberg C
1931 Frederiksberg C
1950 Frederiksberg C
1951 Frederiksberg C
1952 Frederiksberg C
1953 Frederiksberg C
1954 Frederiksberg C
1955 Frederiksberg C
1956 Frederiksberg C
1957 Frederiksberg C
1958 Frederiksberg C
1959 Frederiksberg C
1960 Frederiksberg C
1961 Frederiksberg C
1962 Frederiksberg C
1963 Frederiksberg C
1964 Frederiksberg C
1965 Frederiksberg C
1966 Frederiksberg C
1967 Frederiksberg C
1970 Frederiksberg C
1971 Frederiksberg C
1972 Frederiksberg C
1973 Frederiksberg C
1974 Frederiksberg C
2000 Frederiksberg
2100 København Ø
2150 Nordhavn
2200 København N
2300 København S
2400 København NV
2450 København SV
2500 Valby
2600 Glostrup
2605 Brøndby
2610 Rødovre
2620 Albertslund
2625 Vallensbæk
2630 Taastrup
2635 Ishøj
2640 Hedehusene
2650 Hvidovre
2660 Brøndby Strand
2665 Vallensbæk Strand
2670 Greve
2680 Solrød Strand
2690 Karlslunde
2700 Brønshøj
2720 Vanløse
2730 Herlev
2740 Skovlunde
2750 Ballerup
2760 Måløv
2765 Smørum
2770 Kastrup
2791 Dragør
2800 Kongens Lyngby
2820 Gentofte
2830 Virum
2840 Holte
2850 Nærum
2860 Søborg
2870 Dyssegård
2880 Bagsværd
2900 Hellerup
2920 Charlottenlund
2930 Klampenborg
2942 Skodsborg
2950 Vedbæk
2960 Rungsted Kyst
2970 Hørsholm
2980 Kokkedal
2990 Nivå
3000 Helsingør
3050 Humlebæk
3060 Espergærde
3070 Snekkersten
3080 Tikøb
3100 Hornbæk
3120 Dronningmølle
3140 Ålsgårde
3150 Hellebæk
3200 Helsinge
3210 Vejby
3220 Tisvildeleje
3230 Græsted
3250 Gilleleje
3300 Frederiksværk
3310 Ølsted
3320 Skævinge
3330 Gørløse
3360 Liseleje
3370 Melby
3390 Hundested
3400 Hillerød
3450 Allerød
3460 Birkerød
3480 Fredensborg
3490 Kvistgård
3500 Værløse
3520 Farum
3540 Lynge
3550 Slangerup
3600 Frederikssund
3630 Jægerspris
3650 Ølstykke
3660 Stenløse
3670 Veksø Sjælland
3700 Rønne
3720 Aakirkeby
3730 Nexø
3740 Svaneke
3751 Østermarie
3760 Gudhjem
3770 Allinge
3782 Klemensker
3790 Hasle
4000 Roskilde
4030 Tune
4040 Jyllinge
4050 Skibby
4060 Kirke Såby
4070 Kirke Hyllinge
4100 Ringsted
4129 Ringsted
4130 Viby Sjælland
4140 Borup
4160 Herlufmagle
4171 Glumsø
4173 Fjenneslev
4174 Jystrup Midtsj
4180 Sorø
4190 Munke Bjergby
4200 Slagelse
4220 Korsør
4230 Skælskør
4241 Vemmelev
4242 Boeslunde
4243 Rude
4250 Fuglebjerg
4261 Dalmose
4262 Sandved
4270 Høng
4281 Gørlev
4291 Ruds Vedby
4293 Dianalund
4295 Stenlille
4296 Nyrup
4300 Holbæk
4320 Lejre
4330 Hvalsø
4340 Tølløse
4350 Ugerløse
4360 Kirke Eskilstrup
4370 Store Merløse
4390 Vipperød
4400 Kalundborg
4420 Regstrup
4440 Mørkøv
4450 Jyderup
4460 Snertinge
4470 Svebølle
4480 Store Fuglede
4490 Jerslev Sjælland
4500 Nykøbing Sj
4520 Svinninge
4532 Gislinge
4534 Hørve
4540 Fårevejle
4550 Asnæs
4560 Vig
4571 Grevinge
4572 Nørre Asmindrup
4573 Højby
4581 Rørvig
4583 Sjællands Odde
4591 Føllenslev
4592 Sejerø
4593 Eskebjerg
4600 Køge
4621 Gadstrup
4622 Havdrup
4623 Lille Skensved
4632 Bjæverskov
4640 Faxe
4652 Hårlev
4653 Karise
4654 Faxe Ladeplads
4660 Store Heddinge
4671 Strøby
4672 Klippinge
4673 Rødvig Stevns
4681 Herfølge
4682 Tureby
4683 Rønnede
4684 Holmegaard
4690 Haslev
4700 Næstved
4720 Præstø
4733 Tappernøje
4735 Mern
4736 Karrebæksminde
4750 Lundby
4760 Vordingborg
4771 Kalvehave
4772 Langebæk
4773 Stensved
4780 Stege
4791 Borre
4792 Askeby
4793 Bogø By
4800 Nykøbing F
4840 Nørre Alslev
4850 Stubbekøbing
4862 Guldborg
4863 Eskilstrup
4871 Horbelev
4872 Idestrup
4873 Væggerløse
4874 Gedser
4880 Nysted
4891 Toreby L
4892 Kettinge
4894 Øster Ulslev
4895 Errindlev
4900 Nakskov
4912 Harpelunde
4913 Horslunde
4920 Søllested
4930 Maribo
4941 Bandholm
4943 Torrig L
4944 Fejø
4951 Nørreballe
4952 Stokkemarke
4953 Vesterborg
4960 Holeby
4970 Rødby
4983 Dannemare
4990 Sakskøbing
4992 Midtsjælland USF P
5000 Odense C
5029 Odense C
5100 Odense C
5200 Odense V
5210 Odense NV
5220 Odense SØ
5230 Odense M
5240 Odense NØ
5250 Odense SV
5260 Odense S
5270 Odense N
